SerialNo;Substation;datetime;P_GEN_MAX;P_GEN_MIN
3067E69020456129;Forest Road;01/10/2013 12:00;2.229;2.044
3067E69020456129;Forest Road;01/10/2013 13:00;2.099;1.068
3067E69020456129;Forest Road;01/10/2013 14:00;1.974;0.824
3067E69020456129;Forest Road;01/10/2013 15:00;1.552;0.547
3067E69020456129;Forest Road;01/10/2013 16:00;0.498;0.267
3067E69020456129;Forest Road;01/10/2013 17:00;0.258;0.096
3067E69020456129;Forest Road;01/10/2013 18:00;0.079;0.002
3067E69020456129;Forest Road;01/10/2013 19:00;0.002;0.002
3067E69020456129;Forest Road;01/10/2013 20:00;0.002;0.002
3067E69020456129;Forest Road;01/10/2013 21:00;0.002;0.002
3067E69020456129;Forest Road;01/10/2013 22:00;0.002;0.002
3067E69020456129;Forest Road;01/10/2013 23:00;0.002;0.002
3067E69020456129;Forest Road;02/10/2013 00:00;0.002;0.002
3067E69020456129;Forest Road;02/10/2013 01:00;0.002;0.002
3067E69020456129;Forest Road;02/10/2013 02:00;0.002;0.002
3067E69020456129;Forest Road;02/10/2013 03:00;0.002;0.002
3067E69020456129;Forest Road;02/10/2013 04:00;0.002;0.002
3067E69020456129;Forest Road;02/10/2013 05:00;0.002;0.002
3067E69020456129;Forest Road;02/10/2013 06:00;0.002;0.002
3067E69020456129;Forest Road;02/10/2013 07:00;0.002;0.002
3067E69020456129;Forest Road;02/10/2013 08:00;0.049;0.003
3067E69020456129;Forest Road;02/10/2013 09:00;0.283;0.075
3067E69020456129;Forest Road;02/10/2013 10:00;0.565;0.178
3067E69020456129;Forest Road;02/10/2013 11:00;0.485;0.155
3067E69020456129;Forest Road;02/10/2013 12:00;0.334;0.111
3067E69020456129;Forest Road;02/10/2013 13:00;0.256;0.140
3067E69020456129;Forest Road;02/10/2013 14:00;0.318;0.099
3067E69020456129;Forest Road;02/10/2013 15:00;0.196;0.099
3067E69020456129;Forest Road;02/10/2013 16:00;0.119;0.045
3067E69020456129;Forest Road;02/10/2013 17:00;0.209;0.047
3067E69020456129;Forest Road;02/10/2013 18:00;0.034;0.002
3067E69020456129;Forest Road;02/10/2013 19:00;0.002;0.002
3067E69020456129;Forest Road;02/10/2013 20:00;0.002;0.002
3067E69020456129;Forest Road;02/10/2013 21:00;0.002;0.002
3067E69020456129;Forest Road;02/10/2013 22:00;0.002;0.002
3067E69020456129;Forest Road;02/10/2013 23:00;0.002;0.002
3067E69020456129;Forest Road;03/10/2013 00:00;0.002;0.002
3067E69020456129;Forest Road;03/10/2013 01:00;0.002;0.002
3067E69020456129;Forest Road;03/10/2013 02:00;0.002;0.002
3067E69020456129;Forest Road;03/10/2013 03:00;0.002;0.002
3067E69020456129;Forest Road;03/10/2013 04:00;0.002;0.002
3067E69020456129;Forest Road;03/10/2013 05:00;0.002;0.002
3067E69020456129;Forest Road;03/10/2013 06:00;0.002;0.002
3067E69020456129;Forest Road;03/10/2013 07:00;0.119;0.002
3067E69020456129;Forest Road;03/10/2013 08:00;0.612;0.168
3067E69020456129;Forest Road;03/10/2013 09:00;0.873;0.564
3067E69020456129;Forest Road;03/10/2013 10:00;1.093;0.589
3067E69020456129;Forest Road;03/10/2013 11:00;1.421;0.694
3067E69020456129;Forest Road;03/10/2013 12:00;2.236;0.260
3067E69020456129;Forest Road;03/10/2013 13:00;0.532;0.064
3067E69020456129;Forest Road;03/10/2013 14:00;0.142;0.065
3067E69020456129;Forest Road;03/10/2013 15:00;0.399;0.068
3067E69020456129;Forest Road;03/10/2013 16:00;0.396;0.121
3067E69020456129;Forest Road;03/10/2013 17:00;0.393;0.057
3067E69020456129;Forest Road;03/10/2013 18:00;0.043;0.002
3067E69020456129;Forest Road;03/10/2013 19:00;0.002;0.002
3067E69020456129;Forest Road;03/10/2013 20:00;0.002;0.002
3067E69020456129;Forest Road;03/10/2013 21:00;0.002;0.002
3067E69020456129;Forest Road;03/10/2013 22:00;0.002;0.002
3067E69020456129;Forest Road;03/10/2013 23:00;0.002;0.002
3067E69020456129;Forest Road;04/10/2013 00:00;0.002;0.002
3067E69020456129;Forest Road;04/10/2013 01:00;0.002;0.002
3067E69020456129;Forest Road;04/10/2013 02:00;0.002;0.002
3067E69020456129;Forest Road;04/10/2013 03:00;0.002;0.002
3067E69020456129;Forest Road;04/10/2013 04:00;0.002;0.002
3067E69020456129;Forest Road;04/10/2013 05:00;0.002;0.002
3067E69020456129;Forest Road;04/10/2013 06:00;0.002;0.002
3067E69020456129;Forest Road;04/10/2013 07:00;0.050;0.002
3067E69020456129;Forest Road;04/10/2013 08:00;0.181;0.008
3067E69020456129;Forest Road;04/10/2013 09:00;0.417;0.194
3067E69020456129;Forest Road;04/10/2013 10:00;1.054;0.219
3067E69020456129;Forest Road;04/10/2013 11:00;1.146;0.308
3067E69020456129;Forest Road;04/10/2013 12:00;2.375;0.116
3067E69020456129;Forest Road;04/10/2013 13:00;1.658;0.333
3067E69020456129;Forest Road;04/10/2013 14:00;1.678;0.283
3067E69020456129;Forest Road;04/10/2013 15:00;1.270;0.349
3067E69020456129;Forest Road;04/10/2013 16:00;0.349;0.210
3067E69020456129;Forest Road;04/10/2013 17:00;0.293;0.102
3067E69020456129;Forest Road;04/10/2013 18:00;0.090;0.002
3067E69020456129;Forest Road;04/10/2013 19:00;0.002;0.002
3067E69020456129;Forest Road;04/10/2013 20:00;0.002;0.002
3067E69020456129;Forest Road;04/10/2013 21:00;0.002;0.002
3067E69020456129;Forest Road;04/10/2013 22:00;0.002;0.002
3067E69020456129;Forest Road;04/10/2013 23:00;0.002;0.002
3067E69020456129;Forest Road;05/10/2013 00:00;0.002;0.002
3067E69020456129;Forest Road;05/10/2013 01:00;0.002;0.002
3067E69020456129;Forest Road;05/10/2013 02:00;0.002;0.002
3067E69020456129;Forest Road;05/10/2013 03:00;0.002;0.002
3067E69020456129;Forest Road;05/10/2013 04:00;0.002;0.002
3067E69020456129;Forest Road;05/10/2013 05:00;0.002;0.002
3067E69020456129;Forest Road;05/10/2013 06:00;0.002;0.002
3067E69020456129;Forest Road;05/10/2013 07:00;0.029;0.002
3067E69020456129;Forest Road;05/10/2013 08:00;0.467;0.028
3067E69020456129;Forest Road;05/10/2013 09:00;0.768;0.340
3067E69020456129;Forest Road;05/10/2013 10:00;1.040;0.439
3067E69020456129;Forest Road;05/10/2013 11:00;1.516;0.382
3067E69020456129;Forest Road;05/10/2013 12:00;1.133;0.379
3067E69020456129;Forest Road;05/10/2013 13:00;0.847;0.159
3067E69020456129;Forest Road;05/10/2013 14:00;0.404;0.126
3067E69020456129;Forest Road;05/10/2013 15:00;0.377;0.313
3067E69020456129;Forest Road;05/10/2013 16:00;0.390;0.003
3067E69020456129;Forest Road;05/10/2013 17:00;0.125;0.013
3067E69020456129;Forest Road;05/10/2013 18:00;0.003;0.002
3067E69020456129;Forest Road;05/10/2013 19:00;0.002;0.002
3067E69020456129;Forest Road;05/10/2013 20:00;0.002;0.002
3067E69020456129;Forest Road;05/10/2013 21:00;0.002;0.002
3067E69020456129;Forest Road;05/10/2013 22:00;0.002;0.002
3067E69020456129;Forest Road;05/10/2013 23:00;0.002;0.002
3067E69020456129;Forest Road;06/10/2013 00:00;0.002;0.002
3067E69020456129;Forest Road;06/10/2013 01:00;0.002;0.002
3067E69020456129;Forest Road;06/10/2013 02:00;0.002;0.002
3067E69020456129;Forest Road;06/10/2013 03:00;0.002;0.002
3067E69020456129;Forest Road;06/10/2013 04:00;0.002;0.002
3067E69020456129;Forest Road;06/10/2013 05:00;0.002;0.002
3067E69020456129;Forest Road;06/10/2013 06:00;0.002;0.002
3067E69020456129;Forest Road;06/10/2013 07:00;0.055;0.002
3067E69020456129;Forest Road;06/10/2013 08:00;0.507;0.091
3067E69020456129;Forest Road;06/10/2013 09:00;1.185;0.539
3067E69020456129;Forest Road;06/10/2013 10:00;1.651;1.244
3067E69020456129;Forest Road;06/10/2013 11:00;2.114;1.743
3067E69020456129;Forest Road;06/10/2013 12:00;2.333;0.424
3067E69020456129;Forest Road;06/10/2013 13:00;2.404;1.651
3067E69020456129;Forest Road;06/10/2013 14:00;1.884;0.282
3067E69020456129;Forest Road;06/10/2013 15:00;1.580;0.377
3067E69020456129;Forest Road;06/10/2013 16:00;0.423;0.220
3067E69020456129;Forest Road;06/10/2013 18:00;0.037;0.002
3067E69020456129;Forest Road;06/10/2013 19:00;0.002;0.002
3067E69020456129;Forest Road;06/10/2013 20:00;0.002;0.002
3067E69020456129;Forest Road;06/10/2013 21:00;0.002;0.002
3067E69020456129;Forest Road;06/10/2013 22:00;0.002;0.002
3067E69020456129;Forest Road;06/10/2013 23:00;0.002;0.002
3067E69020456129;Forest Road;07/10/2013 00:00;0.002;0.002
3067E69020456129;Forest Road;07/10/2013 01:00;0.002;0.002
3067E69020456129;Forest Road;07/10/2013 02:00;0.002;0.002
3067E69020456129;Forest Road;07/10/2013 03:00;0.002;0.002
3067E69020456129;Forest Road;07/10/2013 04:00;0.002;0.002
3067E69020456129;Forest Road;07/10/2013 06:00;0.002;0.002
3067E69020456129;Forest Road;07/10/2013 07:00;0.085;0.002
3067E69020456129;Forest Road;07/10/2013 08:00;0.554;0.129
3067E69020456129;Forest Road;07/10/2013 09:00;0.602;0.391
3067E69020456129;Forest Road;07/10/2013 10:00;0.764;0.531
3067E69020456129;Forest Road;07/10/2013 11:00;0.725;0.516
3067E69020456129;Forest Road;07/10/2013 12:00;0.624;0.479
3067E69020456129;Forest Road;07/10/2013 13:00;0.776;0.574
3067E69020456129;Forest Road;07/10/2013 14:00;1.156;0.589
3067E69020456129;Forest Road;07/10/2013 15:00;1.535;0.227
3067E69020456129;Forest Road;07/10/2013 16:00;0.263;0.171
3067E69020456129;Forest Road;07/10/2013 17:00;0.164;0.028
3067E69020456129;Forest Road;07/10/2013 18:00;0.012;0.002
3067E69020456129;Forest Road;07/10/2013 19:00;0.002;0.002
3067E69020456129;Forest Road;07/10/2013 20:00;0.002;0.002
3067E69020456129;Forest Road;07/10/2013 21:00;0.002;0.002
3067E69020456129;Forest Road;07/10/2013 22:00;0.002;0.002
3067E69020456129;Forest Road;07/10/2013 23:00;0.002;0.002
3067E69020456129;Forest Road;08/10/2013 00:00;0.002;0.002
3067E69020456129;Forest Road;08/10/2013 01:00;0.002;0.002
3067E69020456129;Forest Road;08/10/2013 02:00;0.002;0.002
3067E69020456129;Forest Road;08/10/2013 03:00;0.002;0.002
3067E69020456129;Forest Road;08/10/2013 04:00;0.002;0.002
3067E69020456129;Forest Road;08/10/2013 05:00;0.002;0.002
3067E69020456129;Forest Road;08/10/2013 06:00;0.002;0.002
3067E69020456129;Forest Road;08/10/2013 07:00;0.026;0.002
3067E69020456129;Forest Road;08/10/2013 08:00;0.439;0.032
3067E69020456129;Forest Road;08/10/2013 09:00;0.972;0.410
3067E69020456129;Forest Road;08/10/2013 10:00;1.718;1.077
3067E69020456129;Forest Road;08/10/2013 11:00;2.241;0.794
3067E69020456129;Forest Road;08/10/2013 12:00;2.278;0.809
3067E69020456129;Forest Road;08/10/2013 13:00;2.466;0.893
3067E69020456129;Forest Road;08/10/2013 14:00;2.167;0.230
3067E69020456129;Forest Road;08/10/2013 15:00;0.628;0.132
3067E69020456129;Forest Road;08/10/2013 16:00;0.360;0.131
3067E69020456129;Forest Road;08/10/2013 17:00;0.211;0.028
3067E69020456129;Forest Road;08/10/2013 18:00;0.018;0.002
3067E69020456129;Forest Road;08/10/2013 19:00;0.002;0.002
3067E69020456129;Forest Road;08/10/2013 20:00;0.002;0.002
3067E69020456129;Forest Road;08/10/2013 21:00;0.002;0.002
3067E69020456129;Forest Road;08/10/2013 22:00;0.002;0.002
3067E69020456129;Forest Road;08/10/2013 23:00;0.002;0.002
3067E69020456129;Forest Road;09/10/2013 00:00;0.002;0.002
3067E69020456129;Forest Road;09/10/2013 01:00;0.002;0.002
3067E69020456129;Forest Road;09/10/2013 02:00;0.002;0.002
3067E69020456129;Forest Road;09/10/2013 03:00;0.002;0.002
3067E69020456129;Forest Road;09/10/2013 04:00;0.002;0.002
3067E69020456129;Forest Road;09/10/2013 05:00;0.002;0.002
3067E69020456129;Forest Road;09/10/2013 06:00;0.002;0.002
3067E69020456129;Forest Road;09/10/2013 07:00;0.079;0.002
3067E69020456129;Forest Road;09/10/2013 08:00;0.238;0.097
3067E69020456129;Forest Road;09/10/2013 09:00;0.224;0.072
3067E69020456129;Forest Road;09/10/2013 10:00;0.428;0.212
3067E69020456129;Forest Road;09/10/2013 11:00;2.346;0.255
3067E69020456129;Forest Road;09/10/2013 12:00;1.217;0.303
3067E69020456129;Forest Road;09/10/2013 13:00;2.286;0.213
3067E69020456129;Forest Road;09/10/2013 14:00;0.537;0.068
3067E69020456129;Forest Road;09/10/2013 15:00;0.327;0.127
3067E69020456129;Forest Road;09/10/2013 16:00;0.314;0.155
3067E69020456129;Forest Road;09/10/2013 17:00;0.158;0.003
3067E69020456129;Forest Road;09/10/2013 18:00;0.003;0.002
3067E69020456129;Forest Road;09/10/2013 19:00;0.002;0.002
3067E69020456129;Forest Road;09/10/2013 20:00;0.002;0.002
3067E69020456129;Forest Road;09/10/2013 21:00;0.002;0.002
3067E69020456129;Forest Road;09/10/2013 22:00;0.002;0.002
3067E69020456129;Forest Road;09/10/2013 23:00;0.002;0.002
3067E69020456129;Forest Road;10/10/2013 00:00;0.002;0.002
3067E69020456129;Forest Road;10/10/2013 01:00;0.002;0.002
3067E69020456129;Forest Road;10/10/2013 02:00;0.002;0.002
3067E69020456129;Forest Road;10/10/2013 03:00;0.002;0.002
3067E69020456129;Forest Road;10/10/2013 04:00;0.002;0.002
3067E69020456129;Forest Road;10/10/2013 05:00;0.002;0.002
3067E69020456129;Forest Road;10/10/2013 06:00;0.002;0.002
3067E69020456129;Forest Road;10/10/2013 07:00;0.002;0.002
3067E69020456129;Forest Road;10/10/2013 08:00;0.592;0.043
3067E69020456129;Forest Road;10/10/2013 09:00;1.025;0.419
3067E69020456129;Forest Road;10/10/2013 10:00;1.328;0.494
3067E69020456129;Forest Road;10/10/2013 11:00;2.141;0.897
3067E69020456129;Forest Road;10/10/2013 12:00;2.429;1.708
3067E69020456129;Forest Road;10/10/2013 13:00;2.424;0.244
3067E69020456129;Forest Road;10/10/2013 14:00;1.894;0.285
3067E69020456129;Forest Road;10/10/2013 15:00;0.562;0.234
3067E69020456129;Forest Road;10/10/2013 16:00;0.444;0.121
3067E69020456129;Forest Road;10/10/2013 17:00;0.312;0.008
3067E69020456129;Forest Road;10/10/2013 18:00;0.003;0.002
3067E69020456129;Forest Road;10/10/2013 19:00;0.002;0.002
3067E69020456129;Forest Road;10/10/2013 20:00;0.002;0.002
3067E69020456129;Forest Road;10/10/2013 21:00;0.002;0.002
3067E69020456129;Forest Road;10/10/2013 22:00;0.002;0.002
3067E69020456129;Forest Road;10/10/2013 23:00;0.002;0.002
3067E69020456129;Forest Road;11/10/2013 00:00;0.002;0.002
3067E69020456129;Forest Road;11/10/2013 01:00;0.002;0.002
3067E69020456129;Forest Road;11/10/2013 02:00;0.002;0.002
3067E69020456129;Forest Road;11/10/2013 03:00;0.002;0.002
3067E69020456129;Forest Road;11/10/2013 04:00;0.002;0.002
3067E69020456129;Forest Road;11/10/2013 05:00;0.002;0.002
3067E69020456129;Forest Road;11/10/2013 06:00;0.002;0.002
3067E69020456129;Forest Road;11/10/2013 07:00;0.003;0.002
3067E69020456129;Forest Road;11/10/2013 08:00;0.290;0.032
3067E69020456129;Forest Road;11/10/2013 09:00;0.601;0.203
3067E69020456129;Forest Road;11/10/2013 10:00;0.273;0.166
3067E69020456129;Forest Road;11/10/2013 11:00;0.284;0.084
3067E69020456129;Forest Road;11/10/2013 12:00;0.323;0.067
3067E69020456129;Forest Road;11/10/2013 14:00;0.075;0.031
3067E69020456129;Forest Road;11/10/2013 15:00;0.081;0.020
3067E69020456129;Forest Road;11/10/2013 16:00;0.082;0.003
3067E69020456129;Forest Road;11/10/2013 17:00;0.051;0.002
3067E69020456129;Forest Road;11/10/2013 18:00;0.002;0.002
3067E69020456129;Forest Road;11/10/2013 19:00;0.002;0.002
3067E69020456129;Forest Road;11/10/2013 20:00;0.002;0.002
3067E69020456129;Forest Road;11/10/2013 21:00;0.002;0.002
3067E69020456129;Forest Road;11/10/2013 22:00;0.002;0.002
3067E69020456129;Forest Road;11/10/2013 23:00;0.002;0.002
3067E69020456129;Forest Road;12/10/2013 00:00;0.002;0.002
3067E69020456129;Forest Road;12/10/2013 01:00;0.002;0.002
3067E69020456129;Forest Road;12/10/2013 02:00;0.002;0.002
3067E69020456129;Forest Road;12/10/2013 03:00;0.002;0.002
3067E69020456129;Forest Road;12/10/2013 04:00;0.002;0.002
3067E69020456129;Forest Road;12/10/2013 05:00;0.002;0.002
3067E69020456129;Forest Road;12/10/2013 06:00;0.002;0.002
3067E69020456129;Forest Road;12/10/2013 07:00;0.002;0.002
3067E69020456129;Forest Road;12/10/2013 08:00;0.287;0.007
3067E69020456129;Forest Road;12/10/2013 09:00;0.813;0.374
3067E69020456129;Forest Road;12/10/2013 10:00;1.615;0.576
3067E69020456129;Forest Road;12/10/2013 11:00;1.561;0.283
3067E69020456129;Forest Road;12/10/2013 12:00;0.864;0.351
3067E69020456129;Forest Road;12/10/2013 13:00;1.043;0.620
3067E69020456129;Forest Road;12/10/2013 14:00;0.843;0.325
3067E69020456129;Forest Road;12/10/2013 15:00;0.544;0.352
3067E69020456129;Forest Road;12/10/2013 16:00;0.306;0.157
3067E69020456129;Forest Road;12/10/2013 17:00;0.124;0.003
3067E69020456129;Forest Road;12/10/2013 18:00;0.003;0.002
3067E69020456129;Forest Road;12/10/2013 19:00;0.002;0.002
3067E69020456129;Forest Road;12/10/2013 20:00;0.002;0.002
3067E69020456129;Forest Road;12/10/2013 21:00;0.002;0.002
3067E69020456129;Forest Road;12/10/2013 22:00;0.002;0.002
3067E69020456129;Forest Road;12/10/2013 23:00;0.002;0.002
3067E69020456129;Forest Road;13/10/2013 00:00;0.002;0.002
3067E69020456129;Forest Road;13/10/2013 01:00;0.002;0.002
3067E69020456129;Forest Road;13/10/2013 02:00;0.002;0.002
3067E69020456129;Forest Road;13/10/2013 03:00;0.002;0.002
3067E69020456129;Forest Road;13/10/2013 04:00;0.002;0.002
3067E69020456129;Forest Road;13/10/2013 05:00;0.002;0.002
3067E69020456129;Forest Road;13/10/2013 06:00;0.002;0.002
3067E69020456129;Forest Road;13/10/2013 07:00;0.002;0.002
3067E69020456129;Forest Road;13/10/2013 08:00;0.003;0.002
3067E69020456129;Forest Road;13/10/2013 09:00;0.113;0.003
3067E69020456129;Forest Road;13/10/2013 10:00;0.156;0.005
3067E69020456129;Forest Road;13/10/2013 11:00;0.870;0.129
3067E69020456129;Forest Road;13/10/2013 12:00;2.432;0.134
3067E69020456129;Forest Road;13/10/2013 13:00;2.123;0.080
3067E69020456129;Forest Road;13/10/2013 14:00;0.382;0.177
3067E69020456129;Forest Road;13/10/2013 15:00;0.659;0.238
3067E69020456129;Forest Road;13/10/2013 16:00;0.416;0.185
3067E69020456129;Forest Road;13/10/2013 17:00;0.147;0.003
3067E69020456129;Forest Road;13/10/2013 18:00;0.003;0.002
3067E69020456129;Forest Road;13/10/2013 19:00;0.002;0.002
3067E69020456129;Forest Road;13/10/2013 20:00;0.002;0.002
3067E69020456129;Forest Road;13/10/2013 21:00;0.002;0.002
3067E69020456129;Forest Road;13/10/2013 22:00;0.002;0.002
3067E69020456129;Forest Road;13/10/2013 23:00;0.002;0.002
3067E69020456129;Forest Road;14/10/2013 00:00;0.002;0.002
3067E69020456129;Forest Road;14/10/2013 01:00;0.002;0.002
3067E69020456129;Forest Road;14/10/2013 02:00;0.002;0.002
3067E69020456129;Forest Road;14/10/2013 03:00;0.002;0.002
3067E69020456129;Forest Road;14/10/2013 04:00;0.002;0.002
3067E69020456129;Forest Road;14/10/2013 05:00;0.002;0.002
3067E69020456129;Forest Road;14/10/2013 06:00;0.002;0.002
3067E69020456129;Forest Road;14/10/2013 07:00;0.003;0.002
3067E69020456129;Forest Road;14/10/2013 08:00;0.083;0.006
3067E69020456129;Forest Road;14/10/2013 09:00;0.074;0.022
3067E69020456129;Forest Road;14/10/2013 10:00;0.374;0.116
3067E69020456129;Forest Road;14/10/2013 11:00;0.828;0.296
3067E69020456129;Forest Road;14/10/2013 12:00;0.523;0.273
3067E69020456129;Forest Road;14/10/2013 13:00;0.898;0.111
3067E69020456129;Forest Road;14/10/2013 14:00;0.854;0.196
3067E69020456129;Forest Road;14/10/2013 15:00;0.579;0.289
3067E69020456129;Forest Road;14/10/2013 16:00;0.322;0.140
3067E69020456129;Forest Road;14/10/2013 17:00;0.133;0.005
3067E69020456129;Forest Road;14/10/2013 18:00;0.003;0.002
3067E69020456129;Forest Road;14/10/2013 19:00;0.002;0.002
3067E69020456129;Forest Road;14/10/2013 20:00;0.002;0.002
3067E69020456129;Forest Road;14/10/2013 21:00;0.002;0.002
3067E69020456129;Forest Road;14/10/2013 22:00;0.002;0.002
3067E69020456129;Forest Road;14/10/2013 23:00;0.002;0.002
3067E69020456129;Forest Road;15/10/2013 00:00;0.002;0.002
3067E69020456129;Forest Road;15/10/2013 01:00;0.002;0.002
3067E69020456129;Forest Road;15/10/2013 02:00;0.002;0.002
3067E69020456129;Forest Road;15/10/2013 03:00;0.002;0.002
3067E69020456129;Forest Road;15/10/2013 04:00;0.002;0.002
3067E69020456129;Forest Road;15/10/2013 05:00;0.002;0.002
3067E69020456129;Forest Road;15/10/2013 06:00;0.002;0.002
3067E69020456129;Forest Road;15/10/2013 07:00;0.003;0.002
3067E69020456129;Forest Road;15/10/2013 08:00;0.156;0.007
3067E69020456129;Forest Road;15/10/2013 09:00;0.109;0.033
3067E69020456129;Forest Road;15/10/2013 10:00;0.368;0.104
3067E69020456129;Forest Road;15/10/2013 11:00;0.593;0.133
3067E69020456129;Forest Road;15/10/2013 12:00;0.673;0.133
3067E69020456129;Forest Road;15/10/2013 13:00;0.867;0.282
3067E69020456129;Forest Road;15/10/2013 14:00;0.519;0.211
3067E69020456129;Forest Road;15/10/2013 15:00;0.656;0.202
3067E69020456129;Forest Road;15/10/2013 16:00;0.429;0.092
3067E69020456129;Forest Road;15/10/2013 17:00;0.129;0.003
3067E69020456129;Forest Road;15/10/2013 18:00;0.003;0.002
3067E69020456129;Forest Road;15/10/2013 19:00;0.002;0.002
3067E69020456129;Forest Road;15/10/2013 20:00;0.002;0.002
3067E69020456129;Forest Road;15/10/2013 21:00;0.002;0.002
3067E69020456129;Forest Road;15/10/2013 22:00;0.002;0.002
3067E69020456129;Forest Road;15/10/2013 23:00;0.002;0.002
3067E69020456129;Forest Road;16/10/2013 00:00;0.002;0.002
3067E69020456129;Forest Road;16/10/2013 01:00;0.002;0.002
3067E69020456129;Forest Road;16/10/2013 02:00;0.002;0.002
3067E69020456129;Forest Road;16/10/2013 03:00;0.002;0.002
3067E69020456129;Forest Road;16/10/2013 04:00;0.002;0.002
3067E69020456129;Forest Road;16/10/2013 05:00;0.002;0.002
3067E69020456129;Forest Road;16/10/2013 06:00;0.002;0.002
3067E69020456129;Forest Road;16/10/2013 07:00;0.003;0.002
3067E69020456129;Forest Road;16/10/2013 08:00;0.082;0.003
3067E69020456129;Forest Road;16/10/2013 09:00;0.134;0.085
3067E69020456129;Forest Road;16/10/2013 10:00;0.137;0.098
3067E69020456129;Forest Road;16/10/2013 11:00;0.094;0.051
3067E69020456129;Forest Road;16/10/2013 12:00;0.517;0.037
3067E69020456129;Forest Road;16/10/2013 13:00;0.885;0.201
3067E69020456129;Forest Road;16/10/2013 14:00;0.278;0.107
3067E69020456129;Forest Road;16/10/2013 15:00;0.560;0.033
3067E69020456129;Forest Road;16/10/2013 16:00;0.069;0.003
3067E69020456129;Forest Road;16/10/2013 17:00;0.110;0.003
3067E69020456129;Forest Road;16/10/2013 18:00;0.003;0.002
3067E69020456129;Forest Road;16/10/2013 19:00;0.002;0.002
3067E69020456129;Forest Road;16/10/2013 20:00;0.002;0.002
3067E69020456129;Forest Road;16/10/2013 21:00;0.002;0.002
3067E69020456129;Forest Road;16/10/2013 22:00;0.002;0.002
3067E69020456129;Forest Road;16/10/2013 23:00;0.002;0.002
3067E69020456129;Forest Road;17/10/2013 00:00;0.002;0.002
3067E69020456129;Forest Road;17/10/2013 01:00;0.002;0.002
3067E69020456129;Forest Road;17/10/2013 02:00;0.002;0.002
3067E69020456129;Forest Road;17/10/2013 03:00;0.002;0.002
3067E69020456129;Forest Road;17/10/2013 04:00;0.002;0.002
3067E69020456129;Forest Road;17/10/2013 05:00;0.002;0.002
3067E69020456129;Forest Road;17/10/2013 06:00;0.002;0.002
3067E69020456129;Forest Road;17/10/2013 07:00;0.003;0.002
3067E69020456129;Forest Road;17/10/2013 08:00;0.220;0.003
3067E69020456129;Forest Road;17/10/2013 09:00;0.978;0.219
3067E69020456129;Forest Road;17/10/2013 10:00;1.608;1.087
3067E69020456129;Forest Road;17/10/2013 11:00;2.017;1.646
3067E69020456129;Forest Road;17/10/2013 12:00;2.040;0.560
3067E69020456129;Forest Road;17/10/2013 13:00;1.952;0.376
3067E69020456129;Forest Road;17/10/2013 14:00;1.115;0.321
3067E69020456129;Forest Road;17/10/2013 15:00;0.651;0.254
3067E69020456129;Forest Road;17/10/2013 16:00;0.256;0.107
3067E69020456129;Forest Road;17/10/2013 17:00;0.119;0.003
3067E69020456129;Forest Road;17/10/2013 18:00;0.003;0.002
3067E69020456129;Forest Road;17/10/2013 19:00;0.002;0.002
3067E69020456129;Forest Road;17/10/2013 20:00;0.002;0.002
3067E69020456129;Forest Road;17/10/2013 21:00;0.002;0.002
3067E69020456129;Forest Road;17/10/2013 22:00;0.002;0.002
3067E69020456129;Forest Road;17/10/2013 23:00;0.002;0.002
3067E69020456129;Forest Road;18/10/2013 00:00;0.002;0.002
3067E69020456129;Forest Road;18/10/2013 01:00;0.002;0.002
3067E69020456129;Forest Road;18/10/2013 02:00;0.002;0.002
3067E69020456129;Forest Road;18/10/2013 03:00;0.002;0.002
3067E69020456129;Forest Road;18/10/2013 04:00;0.002;0.002
3067E69020456129;Forest Road;18/10/2013 05:00;0.002;0.002
3067E69020456129;Forest Road;18/10/2013 06:00;0.002;0.002
3067E69020456129;Forest Road;18/10/2013 07:00;0.004;0.002
3067E69020456129;Forest Road;18/10/2013 08:00;0.141;0.038
3067E69020456129;Forest Road;18/10/2013 09:00;0.176;0.122
3067E69020456129;Forest Road;18/10/2013 10:00;0.466;0.159
3067E69020456129;Forest Road;18/10/2013 11:00;0.726;0.209
3067E69020456129;Forest Road;18/10/2013 12:00;0.700;0.186
3067E69020456129;Forest Road;18/10/2013 13:00;0.255;0.111
3067E69020456129;Forest Road;18/10/2013 14:00;0.344;0.096
3067E69020456129;Forest Road;18/10/2013 15:00;0.354;0.183
3067E69020456129;Forest Road;18/10/2013 16:00;0.352;0.111
3067E69020456129;Forest Road;18/10/2013 17:00;0.100;0.002
3067E69020456129;Forest Road;18/10/2013 18:00;0.002;0.002
3067E69020456129;Forest Road;18/10/2013 19:00;0.002;0.002
3067E69020456129;Forest Road;18/10/2013 20:00;0.002;0.002
3067E69020456129;Forest Road;18/10/2013 21:00;0.002;0.002
3067E69020456129;Forest Road;18/10/2013 22:00;0.002;0.002
3067E69020456129;Forest Road;18/10/2013 23:00;0.002;0.002
3067E69020456129;Forest Road;19/10/2013 00:00;0.002;0.002
3067E69020456129;Forest Road;19/10/2013 01:00;0.002;0.002
3067E69020456129;Forest Road;19/10/2013 02:00;0.002;0.002
3067E69020456129;Forest Road;19/10/2013 03:00;0.002;0.002
3067E69020456129;Forest Road;19/10/2013 04:00;0.002;0.002
3067E69020456129;Forest Road;19/10/2013 05:00;0.002;0.002
